POIS_ID,GRUPA,PODGRUPA,NAZWA,ADRES,KOD_POCZTO,STATUS_PUB,L_DZIECI_U,L_ODDZIALO,TYP,w_X,w_Y
16049,Edukacja,Szkoły podstawowe,Sportowa Szkoła Podstawowa nr 46 Polskich Olimpijczyków,Ścinawska 21,53-628,publiczna,539,26,ośmioletnia szkoła podstawowa ogólnodostępna,17.01,51.12
15995,Edukacja,Szkoły podstawowe,Sportowa Szkoła Podstawowa nr 72              Władka Zarembowicza,Trwała 17-19,53-335,publiczna,551,29,ośmioletnia szkoła podstawowa ogólnodostępna,17.02,51.09
15898,Edukacja,Szkoły podstawowe,Szermiercza Sportowa Szkoła Podstawowa nr 85           Prof. Mariana Suskiego,gen. Traugutta 37,50-416,publiczna,335,18,ośmioletnia szkoła podstawowa ogólnodostępna,17.05,51.11
16135,Edukacja,Szkoły podstawowe,Szkoła Podstawowa Integracyjna nr 103,Nowodworska 70-82,54-438,publiczna,103,10,ośmioletnia szkoła podstawowa ogólnodostępna,16.96,51.12
15937,Edukacja,Szkoły podstawowe,Szkoła Podstawowa Specjalna nr 100 dla Niepełnosprawnych Ruchowo,Poświęcka 8,51-128,publiczna,0,1,ośmioletnia szkoła podstawowa specjalna,17.04,51.16
16174,Edukacja,Szkoły podstawowe,Szkoła Podstawowa Specjalna nr 101,Wołowska 9,51-116,publiczna,36,19,ośmioletnia szkoła podstawowa specjalna,17.03,51.15
15703,Edukacja,Szkoły podstawowe,Szkoła Podstawowa Specjalna nr 102 dla Uczniów z Autyzmem,Głogowska 30,53-621,publiczna,37,10,ośmioletnia szkoła podstawowa specjalna,17.00,51.12
19493,Edukacja,Szkoły podstawowe,Szkoła Podstawowa Specjalna nr 104,Kamienna 99-101,50-547,publiczna,60,8,ośmioletnia szkoła podstawowa specjalna,17.04,51.09
15914,Edukacja,Szkoły podstawowe,Szkoła Podstawowa Specjalna nr 120,Białowieska 74a,54-234,publiczna,62,10,ośmioletnia szkoła podstawowa specjalna,16.99,51.13
15934,Edukacja,Szkoły podstawowe,Szkoła Podstawowa Specjalna nr 86,Kielecka 51a,54-029,publiczna,58,8,ośmioletnia szkoła podstawowa specjalna,16.88,51.13
15901,Edukacja,Szkoły podstawowe,Szkoła Podstawowa Specjalna nr 87,Parkowa 27,51-616,publiczna,77,11,ośmioletnia szkoła podstawowa specjalna,17.07,51.11
15679,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 1            Marii Dąbrowskiej,Nowowiejska 78,50-315,publiczna,672,30,ośmioletnia szkoła podstawowa ogólnodostępna,17.06,51.12
16041,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 10  Bolesława Krzywoustego,Inflancka 13,51-354,publiczna,1005,45,ośmioletnia szkoła podstawowa ogólnodostępna,17.13,51.14
16009,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 107 Piotra Włostowica,Prusa 64,50-318,publiczna,425,19,ośmioletnia szkoła podstawowa ogólnodostępna,17.05,51.12
15774,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 108      Juliana Tuwima,Bolesława Chrobrego 3,50-254,publiczna,363,18,ośmioletnia szkoła podstawowa ogólnodostępna,17.04,51.12
15777,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 109         Edwarda Dembowskiego,Inóynierska 54,53-230,publiczna,612,29,ośmioletnia szkoła podstawowa ogólnodostępna,16.99,51.09
15755,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 113          Adama Rapackiego,Zemska 16c,54-438,publiczna,1473,64,ośmioletnia szkoła podstawowa ogólnodostępna,16.95,51.12
16046,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 116 dla Uczniów z Dziecięcym Porażeniem Mózgowym,Ignuta 28,54-151,publiczna,42,11,ośmioletnia szkoła podstawowa specjalna,16.97,51.14
15813,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 118           Płk Pilota Bolesława Orlińskiego,bulw. Ikara 19,54-130,publiczna,961,38,ośmioletnia szkoła podstawowa ogólnodostępna,16.97,51.13
16058,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 12 im. Marii Curie-Skłodowskiej,Janiszewskiego 14,50-372,publiczna,259,20,ośmioletnia szkoła podstawowa ogólnodostępna,17.06,51.11
16173,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 14,Zachodnia 2,53-644,publiczna,125,7,ośmioletnia szkoła podstawowa ogólnodostępna,17.02,51.12
15675,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 15    Księżnej Jadwigi Śląskiej,Solskiego 13,52-401,publiczna,574,28,ośmioletnia szkoła podstawowa ogólnodostępna,16.97,51.08
15700,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 16,Wietrzna 50,53-024,publiczna,459,24,ośmioletnia szkoła podstawowa ogólnodostępna,16.99,51.07
16033,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 17    Prof. Stanisława Kulczyńskiego,Wieczysta 105,50-550,publiczna,690,29,ośmioletnia szkoła podstawowa ogólnodostępna,17.04,51.09
16032,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 18,Poznańska 26,53-630,publiczna,430,20,ośmioletnia szkoła podstawowa ogólnodostępna,17.01,51.12
16093,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 19 im. Bolesława Chrobrego,Koszykarska 2-4,54-134,publiczna,472,22,ośmioletnia szkoła podstawowa ogólnodostępna,16.96,51.14
15873,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 2      Henryka Sucharskiego,Komuny Paryskiej 36-38,50-451,publiczna,317,18,ośmioletnia szkoła podstawowa ogólnodostępna,17.05,51.10
16115,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 20              Orła Białego,Kamieńskiego 24,51-124,publiczna,1091,46,ośmioletnia szkoła podstawowa ogólnodostępna,17.03,51.14
15799,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 21 im. Mieszka I,Osobowicka 127,51-004,publiczna,296,15,ośmioletnia szkoła podstawowa ogólnodostępna,16.99,51.14
17074,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 22,Karpnicka 2,54-061,publiczna,1187,49,ośmioletnia szkoła podstawowa ogólnodostępna,16.91,51.16
16094,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 23                              Generała Stefana "Grota" Roweckiego,Przystankowa 32,52-231,publiczna,499,22,ośmioletnia szkoła podstawowa ogólnodostępna,17.04,51.07
16020,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 24,Częstochowska 42,54-031,publiczna,755,40,ośmioletnia szkoła podstawowa ogólnodostępna,16.89,51.13
16034,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 25   Franciszka Juszczaka,Stanisławowska 38-44,54-611,publiczna,1109,52,ośmioletnia szkoła podstawowa ogólnodostępna,16.95,51.10
16002,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 26                  Piastów Śląskich,Suwalska 5,54-104,publiczna,1063,50,ośmioletnia szkoła podstawowa ogólnodostępna,16.93,51.15
15756,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 27,Rumiankowa 34,54-512,publiczna,597,28,ośmioletnia szkoła podstawowa ogólnodostępna,16.93,51.12
16031,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 28 im. Generała Leopolda Okulickiego,Grecka 59,54-406,publiczna,538,28,ośmioletnia szkoła podstawowa ogólnodostępna,16.96,51.11
18593,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 29,ks. Kraińskiego 1,50-153,publiczna,224,12,ośmioletnia szkoła podstawowa ogólnodostępna,17.04,51.11
16035,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 3   Mariusza Zaruskiego,Bobrza 27,54-220,publiczna,773,31,ośmioletnia szkoła podstawowa ogólnodostępna,16.99,51.13
15696,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 30,Zaporoska 28,53-523,publiczna,328,18,ośmioletnia szkoła podstawowa ogólnodostępna,17.02,51.10
16217,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 32,Kłodzka 40,50-536,publiczna,1132,45,ośmioletnia szkoła podstawowa ogólnodostępna,17.04,51.07
16160,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 33,Kolista 17,54-152,publiczna,432,21,ośmioletnia szkoła podstawowa ogólnodostępna,16.97,51.14
16051,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 34,Gałczyńskiego 8,52-214,publiczna,767,32,ośmioletnia szkoła podstawowa ogólnodostępna,17.03,51.06
16042,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 36              Bohaterów Westerplatte,Chopina 9b,51-609,publiczna,480,21,ośmioletnia szkoła podstawowa ogólnodostępna,17.08,51.12
15678,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 37    Kardynała Stefana Wyszyńskiego,Sarbinowska 10,54-320,publiczna,455,24,ośmioletnia szkoła podstawowa ogólnodostępna,16.95,51.13
16095,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 38,Horbaczewskiego 61,54-130,publiczna,263,13,ośmioletnia szkoła podstawowa ogólnodostępna,16.97,51.12
16280,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 39,Przedwiośnie 47,51-211,publiczna,326,15,ośmioletnia szkoła podstawowa ogólnodostępna,17.11,51.17
16161,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 4,Powstańców Śląskich 210-218,53-140,publiczna,608,29,ośmioletnia szkoła podstawowa ogólnodostępna,17.01,51.08
16047,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 40     Bolesława Iwaszkiewicza,Sołtysowicka 34,51-168,publiczna,503,24,ośmioletnia szkoła podstawowa ogólnodostępna,17.07,51.15
15994,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 42,Wałbrzyska 50,52-314,publiczna,482,22,ośmioletnia szkoła podstawowa ogólnodostępna,16.97,51.06
16159,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 43 z Oddziałami Integracyjnymi         Jana Kaczmarka,Grochowa 36-38,53-424,publiczna,528,32,ośmioletnia szkoła podstawowa ogólnodostępna,17.00,51.10
16158,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 44          Jana III Sobieskiego,Wilanowska 31,51-206,publiczna,875,45,ośmioletnia szkoła podstawowa ogólnodostępna,17.14,51.16
15713,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 45            Janusza Kusocińskiego,Krajewskiego 1,51-690,publiczna,299,17,ośmioletnia szkoła podstawowa ogólnodostępna,17.10,51.11
15715,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 47,Januszowicka 35-37,53-135,publiczna,561,26,ośmioletnia szkoła podstawowa ogólnodostępna,17.01,51.08
16162,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 5,Jelenia 7,54-242,publiczna,367,17,ośmioletnia szkoła podstawowa ogólnodostępna,17.00,51.12
15677,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 50,Czeska 38,51-112,publiczna,1117,44,ośmioletnia szkoła podstawowa ogólnodostępna,17.03,51.14
16039,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 51         Jana Pawła II,Krępicka 50,54-018,publiczna,852,39,ośmioletnia szkoła podstawowa ogólnodostępna,16.86,51.15
16006,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 53,Strachocińska 155-157,51-518,publiczna,531,24,ośmioletnia szkoła podstawowa ogólnodostępna,17.15,51.10
16026,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 58    Wandy Rutkiewicz,Składowa 2-4,50-209,publiczna,377,32,ośmioletnia szkoła podstawowa ogólnodostępna,17.03,51.12
16163,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 6,Gorlicka 25,51-314,publiczna,331,13,ośmioletnia szkoła podstawowa ogólnodostępna,17.12,51.14
16008,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 61         Janusza Korczaka,Skarbowców 8,53-025,publiczna,397,18,ośmioletnia szkoła podstawowa ogólnodostępna,17.00,51.08
15725,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 63 Anny Jasińskiej,Mennicza 21-23,50-057,publiczna,426,19,ośmioletnia szkoła podstawowa ogólnodostępna,17.04,51.11
15998,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 64 Władysława Broniewskiego,Wojszycka 1,53-006,publiczna,623,27,ośmioletnia szkoła podstawowa ogólnodostępna,17.01,51.07
16050,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 65                   Profesor Marii Zduniak,Kłodnicka 36,54-218,publiczna,448,22,ośmioletnia szkoła podstawowa ogólnodostępna,16.98,51.12
16254,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 66,Dembowskiego 39,51-670,publiczna,461,19,ośmioletnia szkoła podstawowa ogólnodostępna,17.09,51.11
15896,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 67 im. Kawalerów Orderu Uśmiechu,pl. Muzealny 20,50-035,publiczna,334,16,ośmioletnia szkoła podstawowa ogólnodostępna,17.03,51.10
16028,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 68 im. II Tysiąclecia Wrocławia,Szczęśliwa 28,53-446,publiczna,506,23,ośmioletnia szkoła podstawowa ogólnodostępna,17.01,51.10
17913,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 7,al. Brócknera 12,51-410,publiczna,169,10,ośmioletnia szkoła podstawowa ogólnodostępna,17.08,51.13
15723,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 71,Podwale 57,50-039,publiczna,604,27,ośmioletnia szkoła podstawowa ogólnodostępna,17.04,51.10
16074,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 73                  Generała Władysława Andersa,Gliniana 30,50-525,publiczna,258,28,ośmioletnia szkoła podstawowa ogólnodostępna,17.04,51.09
15833,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 74 im. Prymasa Tysiąclecia,Kleczkowska 2,50-227,publiczna,420,21,ośmioletnia szkoła podstawowa ogólnodostępna,17.03,51.13
16053,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 75  im. Henryka Sienkiewicza,Ignuta 28,54-151,publiczna,427,28,ośmioletnia szkoła podstawowa ogólnodostępna,16.97,51.14
15757,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 76           I Armii Wojska Polskiego,Wandy 13,53-320,publiczna,575,25,ośmioletnia szkoła podstawowa ogólnodostępna,17.01,51.09
16157,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 77,św. Jerzego 4,50-518,publiczna,502,22,ośmioletnia szkoła podstawowa ogólnodostępna,17.04,51.09
16057,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 78      Mikołaja Kopernika,Jedności Narodowej 195,50-303,publiczna,327,16,ośmioletnia szkoła podstawowa ogólnodostępna,17.05,51.13
15722,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 8 im. Józefa Piłsudskiego,Kowalska 105,51-424,publiczna,283,17,ośmioletnia szkoła podstawowa ogólnodostępna,17.11,51.13
15706,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 80    Tysiąclecia Wrocławia,Polna 4,52-120,publiczna,924,42,ośmioletnia szkoła podstawowa ogólnodostępna,17.08,51.06
16156,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 81,Jastrzębia 26,53-148,publiczna,543,22,ośmioletnia szkoła podstawowa ogólnodostępna,17.01,51.09
16113,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 82 im. Budowniczych Wrocławia,Blacharska 13,53-206,publiczna,459,24,ośmioletnia szkoła podstawowa ogólnodostępna,16.99,51.08
16060,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 83        Jana Kasprowicza,al. Boya-óeleńskiego 32,51-160,publiczna,711,30,ośmioletnia szkoła podstawowa ogólnodostępna,17.06,51.14
15736,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 84  Ruchu Obrońców Pokoju,Górnickiego 20,50-337,publiczna,731,30,ośmioletnia szkoła podstawowa ogólnodostępna,17.06,51.12
16073,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 9     Wincentego Pola,Nyska 66,50-505,publiczna,527,24,ośmioletnia szkoła podstawowa ogólnodostępna,17.05,51.09
16096,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 90   Prof. Stanisława Tołpy,Orzechowa 62,50-540,publiczna,777,33,ośmioletnia szkoła podstawowa ogólnodostępna,17.04,51.08
18073,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 91,Sempołowskiej 54,51-661,publiczna,616,29,ośmioletnia szkoła podstawowa ogólnodostępna,17.11,51.10
15716,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 93             Tradycji Orła Białego,Niemcewicza 29-31,50-238,publiczna,213,11,ośmioletnia szkoła podstawowa ogólnodostępna,17.04,51.12
16117,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 95    Jarosława Iwaszkiewicza,Starogajowa 66-68,54-047,publiczna,581,25,ośmioletnia szkoła podstawowa ogólnodostępna,16.89,51.15
15730,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 96   Leonida Teligi,Krakowska 2,50-425,publiczna,279,18,ośmioletnia szkoła podstawowa ogólnodostępna,17.06,51.10
16155,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 97               Jana Brzechwy,Prosta 16,53-509,publiczna,372,15,ośmioletnia szkoła podstawowa ogólnodostępna,17.02,51.10
15797,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 98 im. Piastów Wrocławskich,Sycowska 22a,51-319,publiczna,507,24,ośmioletnia szkoła podstawowa ogólnodostępna,17.11,51.15
15818,Edukacja,Szkoły podstawowe,Szkoła Podstawowa nr 99   Tadeusza Kościuszki,Głubczycka 3,52-026,publiczna,547,25,ośmioletnia szkoła podstawowa ogólnodostępna,17.08,51.08
16744,Edukacja,Szkoły podstawowe,Autorska Szkoła Podstawowa JASKÓŁKA we Wrocławiu,Robotnicza 36-38,53-608,niepubliczna o uprawnieniach szkoły publicznej,0,0,ośmioletnia szkoła podstawowa ogólnodostępna,17.00,51.11
16824,Edukacja,Szkoły podstawowe,Autorska Szkoła Podstawowa NAVIGO Wrocław,Sudecka 98,53-129,niepubliczna o uprawnieniach szkoły publicznej,0,0,ośmioletnia szkoła podstawowa ogólnodostępna,17.02,51.08
